Species;Common;IUIS Allergen;Type;Group;Allergenicity;Length;Accession;GI#;1st Version
Fragaria x ananassa;Strawberry;Fra a 1.0102;Food Plant;Fragaria  Fra a 1;IgE plus basophil+ or SPT+;160;ABD39049.1;88082485;7
Fragaria x ananassa;Strawberry;Unassigned;Food Plant;Fragaria  Fra a 1;IgE plus basophil+ or SPT+;160;ACX47057.1;260600660;11
Fragaria x ananassa;Strawberry;Unassigned;Food Plant;Fragaria  Fra a 1;IgE plus basophil+ or SPT+;159;ACX47058.1;260600662;11
Fragaria x ananassa;Strawberry;Fra a 3.0101;Food Plant;Fragaria Fra a 3;IgE plus basophil+ or SPT+;117;CAC86258.1;18477856;15
Fragaria x ananassa;Strawberry;Fra a 3.0102;Food Plant;Fragaria Fra a 3;IgE plus basophil+ or SPT+;117;AAY83342.1;67937767;15
Fragaria x ananassa;Strawberry;Fra a 3.0201;Food Plant;Fragaria Fra a 3;IgE plus basophil+ or SPT+;117;AAY83341.1;67937765;15
Fragaria x ananassa;Strawberry;Fra a 3.0202;Food Plant;Fragaria Fra a 3;IgE plus basophil+ or SPT+;117;AAY83345.1;67937773;15
Glycine max;Soybean;Gly m 7.0101;Food Plant;Glycine 68kDa biotinylated protein;IgE plus basophil+ or SPT+;643;ACS49840.1;240254706;11
Glycine max;Soybean;Gly m 3.0102;Food Plant;Glycine Gly m 3;IgE but no biological test;131;CAA11755.1;3021373;7
Glycine max;Soybean;Unassigned;Food Plant;Glycine Gly m 3;IgE but no biological test;131;ABU97472.1;156938901;9
Glycine max;Soybean;Gly m 3.0101;Food Plant;Glycine Gly m 3;IgE but no biological test;131;CAA11756.1;3021375;15
Glycine max;Soybean;Gly m 4.0101;Food Plant;Glycine Gly m 4;IgE plus basophil+ or SPT+;158;CAA42646.1;18744;7
Glycine max;Soybean;Unassigned;Food Plant;Glycine Gly m 5.0101 alpha subunit beta congl;IgE but no biological test;605;CAA35691.1;18536;7
Glycine max;Soybean;Unassigned;Food Plant;Glycine Gly m 5.0101 alpha subunit beta congl;IgE but no biological test;218;AAA33947.1;169927;7
Glycine max;Soybean;Gly m 5.0101;Food Plant;Glycine Gly m 5.0101 alpha subunit beta congl;IgE but no biological test;543;BAA23360.2;9967357;15
Glycine max;Soybean;Unassigned;Food Plant;Glycine Gly m 5.0201 alpha prime beta congly;IgE but no biological test;639;AAB01374.1;169929;7
Glycine max;Soybean;Unassigned;Food Plant;Glycine Gly m 5.0201 alpha prime beta congly;IgE but no biological test;621;BAB64303.1;15425631;15
Glycine max;Soybean;Gly m 5.0201;Food Plant;Glycine Gly m 5.0201 alpha prime beta congly;IgE but no biological test;559;BAA74452.2;9967361;15
Glycine max;Soybean;Unassigned;Food Plant;Glycine Gly m 5.0301 beta sub unit beta congl;IgE but no biological test;439;BAB64306.1;15425637;15
Glycine max;Soybean;Gly m 5.0301;Food Plant;Glycine Gly m 5.0301 beta sub unit beta congl;IgE but no biological test;439;P25974.1;121282;15
Glycine max;Soybean;Unassigned;Food Plant;Glycine Gly m 6.0101;IgE but no biological test;495;CAA26723.1;18615;7
Glycine max;Soybean;Gly m 6.0101;Food Plant;Glycine Gly m 6.0101;IgE but no biological test;495;AAA33966.1;169973;15
Glycine max;Soybean;Unassigned;Food Plant;Glycine Gly m 6.0201;IgE but no biological test;485;CAA26575.1;18609;7
Glycine max;Soybean;Gly m 6.0201;Food Plant;Glycine Gly m 6.0201;IgE but no biological test;485;BAA00154.1;218265;15
Glycine max;Soybean;Gly m 6.0301;Food Plant;Glycine Gly m 6.0301;IgE but no biological test;481;CAA33217.1;18639;7
Glycine max;Soybean;Unassigned;Food Plant;Glycine Gly m 6.0401;IgE but no biological test;562;CAA37044.1;18641;7
Glycine max;Soybean;Unassigned;Food Plant;Glycine Gly m 6.0401;IgE but no biological test;562;CAA26478.1;732706;7
Glycine max;Soybean;Gly m 6.0401;Food Plant;Glycine Gly m 6.0401;IgE but no biological test;563;BAA74953.1;4249568;15
Glycine max;Soybean;Unassigned;Food Plant;Glycine Gly m 6.0501;IgE but no biological test;516;AAA33964.1;169969;7
Glycine max;Soybean;Unassigned;Food Plant;Glycine Gly m 6.0501;IgE but no biological test;240;AAA33965.1;169971;7
Glycine max;Soybean;Gly m 6.0501;Food Plant;Glycine Gly m 6.0501;IgE but no biological test;517;BAB15802.1;10566449;15
Glycine max;Soybean;Unassigned;Food Plant;Glycine Gly m 8 2s albumin;IgE but no biological test;155;AAD09630.1;4097894;14
Glycine max;Soybean;Gly m 8.0101;Food Plant;Glycine Gly m 8 2s albumin;IgE but no biological test;158;NP_001238443.1;351727517;15
Glycine max;Soybean;Unassigned;Food Plant;Glycine Gly m Bd 28K;IgE but no biological test;373;ACD36976.1;187766751;10
Glycine max;Soybean;Unassigned;Food Plant;Glycine Gly m Bd 28K;IgE but no biological test;373;ACD36975.1;187766749;10
Glycine max;Soybean;Unassigned;Food Plant;Glycine Gly m Bd 28K;IgE but no biological test;373;ACD36974.1;187766747;10
Glycine max;Soybean;Unassigned;Food Plant;Glycine Gly m Bd 28K;IgE but no biological test;455;ACD36978.1;187766755;10
Glycine max;Soybean;Unassigned;Food Plant;Glycine Gly m Bd 28K;IgE but no biological test;476;BAB21619.2;410067729;15
Glycine max;Soybean;Unassigned;Food Plant;Glycine Gly m Bd 30 kDa;IgE but no biological test;379;P22895.1;129353;7
Glycine max;Soybean;Unassigned;Food Plant;Glycine Gly m Bd 30 kDa;IgE but no biological test;379;AAB09252.1;1199563;7
Glycine max;Soybean;Unassigned;Food Plant;Glycine Gly m Bd 30 kDa;IgE but no biological test;379;BAA25899.1;3097321;7
Glycine max;Soybean;Unassigned;Food Plant;Glycine Major Gly 50 kDa allergen;IgE but no biological test;17;P82947.1;85681057;7
Glycine max;Soybean;Unassigned;Food Plant;Glycine Trypsin inhibitor;IgE but no biological test;217;CAA45777.1;18770;7
Glycine max;Soybean;Unassigned;Food Plant;Glycine Trypsin inhibitor;IgE but no biological test;217;CAA45778.1;18772;7
Glycine max;Soybean;Unassigned;Food Plant;Glycine Trypsin inhibitor;IgE but no biological test;216;AAB23464.1;256429;7
Glycine max;Soybean;Unassigned;Food Plant;Glycine Trypsin inhibitor;IgE but no biological test;203;AAB23482.1;256635;7
Glycine max;Soybean;Unassigned;Food Plant;Glycine Trypsin inhibitor;IgE but no biological test;204;AAB23483.1;256636;7
Glycine max;Soybean;Unassigned;Food Plant;Glycine Trypsin inhibitor;IgE but no biological test;208;CAA56343.1;510515;7
Glycine soja;Soybean;Unassigned;Food Plant;Glycine Gly m 6.0401;IgE but no biological test;563;CAA60533.1;806556;7
Helianthus annuus;Sunflower;Hel a 3.0101;Food Plant;Helianthus Hel a 3;IgE but no biological test;116;AAP47226.1;31324341;15
Helianthus annuus;Sunflower;Unassigned;Food Plant;Helianthus Seed 2S albumin;IgE but no biological test;141;P23110.1;112745;9
Hordeum vulgare;Barley;Unassigned;Food Plant;Hordeum Hor v 20;IgE plus basophil+ or SPT+;289;P80198.1;1708280;15
Hordeum vulgare;Barley;Hor v 20.0101;Food Plant;Hordeum Hor v 20;IgE plus basophil+ or SPT+;286;CAA51204.1;288709;15
Hordeum vulgare;Barley;Unassigned;Food Plant;Hordeum LTP 1;IgE but no biological test;134;CAA42832.1;19039;7
Hordeum vulgare subsp. vulgare;Barley;Hor v 15.0101;Food Plant;Hordeum Hor v 15;IgE plus basophil+ or SPT+;146;CAA45085.1;19003;15
Juglans nigra;Black walnut;Jug n 1.0101;Food Plant;Juglans Jug r 1 Jug n 1;IgE but no biological test;161;AAM54365.1;31321942;7
Juglans nigra;Black walnut;Jug n 2.0101;Food Plant;Juglans Jug r 2;IgE but no biological test;481;AAM54366.1;31321944;7
Juglans nigra;Black walnut;Jug n 4.0101;Food Plant;Juglans nigra Jug n 4 legumin;IgE but no biological test;510;APR62629.1;1126299828;18
Juglans regia;English walnut;Jug r 1.0101;Food Plant;Juglans Jug r 1 Jug n 1;IgE but no biological test;139;AAB41308.1;1794252;7
Juglans regia;English walnut;;Food Plant;Juglans Jug r 2;IgE but no biological test;593;AAF18269.1;6580762;7
Juglans regia;English walnut;Jug r 3.0101;Food Plant;Juglans Jug r 3;IgE but no biological test;119;ACI47547.1;209484145;11
Juglans regia;English walnut;Jug r 4.0101;Food Plant;Juglans Jug r 4 seed storage protein;IgE but no biological test;507;AAW29810.1;56788031;7
Juglans regia;English walnut;Jug r 6.0101;Food Plant;Juglans Jug r 6;IgE but no biological test;502;XP_018814692.1;1098817075;19
Lens culinaris;Lentil;Len c 3.0101;Food Plant;Lens  Len c 3;IgE but no biological test;118;AAX35807.1;60735410;15
Lens culinaris;Lentil;Len c 1.0101;Food Plant;Lens Len c 1;IgE but no biological test;418;CAD87730.1;29539109;7
Lens culinaris;Lentil;Len c 1.0102;Food Plant;Lens Len c 1;IgE but no biological test;415;CAD87731.1;29539111;7
Litchi chinensis;Lychee nut;Lit c 1.0101;Food Plant;Litchi Lit c 1;IgE but no biological test;131;AAL07320.1;15809696;7
Litchi chinensis;Lychee nut;Unassigned;Food Plant;Litchi Lit c 1;IgE but no biological test;131;ABC02750.1;83317152;7
Lupinus albus;white lupine;Unassigned;Food Plant;Lupinus albus congluten beta;IgE but no biological test;531;CAI84850.2;89994190;14
Lupinus albus;white lupine;Unassigned;Food Plant;Lupinus albus congluten beta;IgE but no biological test;533;Q6EBC1.1;75121065;17
Lupinus angustifolius;blue lupin;Unassigned;Food Plant;Lupinus Lup an 1 conglutin beta;IgE but no biological test;521;ABR21771.1;149208401;9
Lupinus angustifolius;blue lupin;Unassigned;Food Plant;Lupinus Lup an 1 conglutin beta;IgE but no biological test;455;ABR21772.1;149208403;9
Lupinus angustifolius;blue lupin;Lup an 1.0101;Food Plant;Lupinus Lup an 1 conglutin beta;IgE but no biological test;611;ACB05815.1;169950562;10
Lupinus angustifolius;blue lupin;Unassigned;Food Plant;Lupinus Lup an 1 conglutin beta;IgE but no biological test;605;F5B8W5.1;980951568;17
Lupinus angustifolius;blue lupin;Unassigned;Food Plant;Lupinus Lup an 1 conglutin beta;IgE but no biological test;593;F5B8W4.1;980951565;17
Lupinus angustifolius;blue lupin;Unassigned;Food Plant;Lupinus Lup an 1 conglutin beta;IgE but no biological test;637;F5B8W3.1;980951561;17
Lupinus angustifolius;blue lupin;Unassigned;Food Plant;Lupinus Lup an 1 conglutin beta;IgE but no biological test;590;F5B8W2.1;980951555;17
Lupinus angustifolius;blue lupin;Unassigned;Food Plant;Lupinus Lup an 1 conglutin beta;IgE but no biological test;580;F5B8W1.1;980951550;17
Lupinus angustifolius;blue lupin;Unassigned;Food Plant;Lupinus Lup an 1 conglutin beta;IgE but no biological test;603;F5B8W0.1;980951548;17
Lupinus angustifolius;blue lupin;Unassigned;Food Plant;Lupinus Lup an 1 conglutin beta;IgE but no biological test;611;F5B8V9.1;980951518;17
Lycium barbarum;wolfberry;Unassigned;Food Plant;Lycium ltp;IgE but no biological test;51;B3A0N2.1;363805423;13
Malus x domestica;Apple;Mal d 1.0301;Food Plant;Malus Mal d 1;IgE plus basophil+ or SPT+;159;CAA96534.1;1313966;7
Malus x domestica;Apple;Mal d 1.0401;Food Plant;Malus Mal d 1;IgE plus basophil+ or SPT+;160;CAA96535.1;1313968;7
Malus x domestica;Apple;Mal d 1.0402;Food Plant;Malus Mal d 1;IgE plus basophil+ or SPT+;160;CAA96536.1;1313970;7
Malus x domestica;Apple;Mal d 1.0403;Food Plant;Malus Mal d 1;IgE plus basophil+ or SPT+;160;CAA96537.1;1313972;7
Malus x domestica;Apple;Mal d 1.0206;Food Plant;Malus Mal d 1;IgE plus basophil+ or SPT+;159;AAD13683.1;2443824;7
Malus x domestica;Apple;Mal d 1.0103;Food Plant;Malus Mal d 1;IgE plus basophil+ or SPT+;159;AAD26546.1;4590364;7
Malus x domestica;Apple;Mal d 1.0203;Food Plant;Malus Mal d 1;IgE plus basophil+ or SPT+;159;AAD26547.1;4590366;7
Malus x domestica;Apple;Mal d 1.0204;Food Plant;Malus Mal d 1;IgE plus basophil+ or SPT+;159;AAD26548.1;4590368;7
Malus x domestica;Apple;Mal d 1.0104;Food Plant;Malus Mal d 1;IgE plus basophil+ or SPT+;159;AAD26552.1;4590376;7
Malus x domestica;Apple;Mal d 1.0105;Food Plant;Malus Mal d 1;IgE plus basophil+ or SPT+;159;AAD26553.1;4590378;7
Malus x domestica;Apple;Mal d 1.0106;Food Plant;Malus Mal d 1;IgE plus basophil+ or SPT+;159;AAD26554.1;4590380;7
Malus x domestica;Apple;Mal d 1.0107;Food Plant;Malus Mal d 1;IgE plus basophil+ or SPT+;159;AAD26555.1;4590382;7
Malus x domestica;Apple;Mal d 1.0205;Food Plant;Malus Mal d 1;IgE plus basophil+ or SPT+;159;AAD26558.1;4590388;7
Malus x domestica;Apple;Mal d 1.0208;Food Plant;Malus Mal d 1;IgE plus basophil+ or SPT+;158;CAD32318.1;21685277;7
Malus x domestica;Apple;Mal d 1.0304;Food Plant;Malus Mal d 1;IgE plus basophil+ or SPT+;159;AAO25113.1;27922941;7
Malus x domestica;Apple;Mal d 1.0108;Food Plant;Malus Mal d 1;IgE plus basophil+ or SPT+;159;AAD29671.1;4768879;11
Malus x domestica;Apple;Mal d 1.0201;Food Plant;Malus Mal d 1;IgE plus basophil+ or SPT+;159;AAB01362.1;862307;11
Malus x domestica;Apple;Mal d 1.0102;Food Plant;Malus Mal d 1;IgE plus basophil+ or SPT+;159;CAA88833.1;886683;11
Malus x domestica;Apple;Mal d 1.0101;Food Plant;Malus Mal d 1;IgE plus basophil+ or SPT+;159;CAA58646.1;747852;15
Malus x domestica;Apple;Mal d 1.0109;Food Plant;Malus Mal d 1;IgE plus basophil+ or SPT+;159;AAK13029.1;15418742;15
Malus x domestica;Apple;Mal d 1.0207;Food Plant;Malus Mal d 1;IgE plus basophil+ or SPT+;159;AAK13030.1;15418744;15
Malus x domestica;Apple;Mal d 1.0302;Food Plant;Malus Mal d 1;IgE plus basophil+ or SPT+;159;AAK13027.1;15418738;15
Malus x domestica;Apple;Unassigned;Food Plant;Malus Mal d 2;IgE but no biological test;26;AAB35897.1;1478293;7
Malus x domestica;Apple;Unassigned;Food Plant;Malus Mal d 2;IgE but no biological test;246;AAX19848.1;60418842;7
Malus x domestica;Apple;Unassigned;Food Plant;Malus Mal d 2;IgE but no biological test;246;AAX19851.1;60418848;7
Malus x domestica;Apple;Unassigned;Food Plant;Malus Mal d 2;IgE but no biological test;246;Q9FSG7.1;30316292;8
Malus x domestica;Apple;Unassigned;Food Plant;Malus Mal d 2;IgE but no biological test;158;CAT99612.1;218059718;10
Malus x domestica;Apple;Unassigned;Food Plant;Malus Mal d 2;IgE but no biological test;158;CAT99611.1;218059715;10
Malus x domestica;Apple;Unassigned;Food Plant;Malus Mal d 2;IgE but no biological test;193;AFM77001.1;392507603;13
Malus x domestica;Apple;Mal d 2.0101;Food Plant;Malus Mal d 2;IgE but no biological test;245;AAC36740.1;3643249;15
Malus x domestica;Apple;Unassigned;Food Plant;Malus Mal d 2;IgE but no biological test;159;APG29330.1;1109403341;18
Malus x domestica;Apple;Mal d 3.0201;Food Plant;Malus Mal d 3;IgE plus basophil+ or SPT+;115;AAF26450.1;6715522;7
Malus x domestica;Apple;Mal d 3.0203;Food Plant;Malus Mal d 3;IgE plus basophil+ or SPT+;115;AAT80665.1;50659891;7
Malus x domestica;Apple;Mal d 3.0202;Food Plant;Malus Mal d 3;IgE plus basophil+ or SPT+;115;AAT80664.1;50659889;7
Malus x domestica;Apple;Unassigned;Food Plant;Malus Mal d 3;IgE plus basophil+ or SPT+;115;AAT80662.1;50659885;7
Malus x domestica;Apple;;Food Plant;Malus Mal d 3;IgE plus basophil+ or SPT+;115;AAT80659.1;50659879;7
Malus x domestica;Apple;Mal d 3.0102;Food Plant;Malus Mal d 3;IgE plus basophil+ or SPT+;115;AAT80649.1;50659859;7
Malus x domestica;Apple;Unassigned;Food Plant;Malus Mal d 3;IgE plus basophil+ or SPT+;115;AAR22488.1;38492338;7
Malus x domestica;Apple;Mal d 4.0302;Food Plant;Malus Mal d 4;IgE plus basophil+ or SPT+;131;CAD46559.1;28881453;7
Malus x domestica;Apple;Mal d 4.0102;Food Plant;Malus Mal d 4;IgE plus basophil+ or SPT+;131;CAD46561.1;28881457;7
Malus x domestica;Apple;Mal d 4.0202;Food Plant;Malus Mal d 4;IgE plus basophil+ or SPT+;131;CAD46560.1;28881455;7
Malus x domestica;Apple;Unassigned;Food Plant;Malus Mal d 4;IgE plus basophil+ or SPT+;131;AAX19854.1;60418854;7
Malus x domestica;Apple;;Food Plant;Malus Mal d 4;IgE plus basophil+ or SPT+;131;AAX19856.1;60418858;7
Malus x domestica;Apple;Unassigned;Food Plant;Malus Mal d 4;IgE plus basophil+ or SPT+;131;AAX19858.1;60418862;7
Malus x domestica;Apple;Unassigned;Food Plant;Malus Mal d 4;IgE plus basophil+ or SPT+;131;AAX19860.1;60418866;7
Malus x domestica;Apple;Unassigned;Food Plant;Malus Mal d 4;IgE plus basophil+ or SPT+;131;CAK93713.1;164510842;9
Malus x domestica;Apple;Unassigned;Food Plant;Malus Mal d 4;IgE plus basophil+ or SPT+;131;CAK93753.1;164510858;9
Malus x domestica;Apple;Unassigned;Food Plant;Malus Mal d 4;IgE plus basophil+ or SPT+;131;CAK93757.1;164510860;9
Malus x domestica;Apple;Unassigned;Food Plant;Malus Mal d 4;IgE plus basophil+ or SPT+;77;CAT99618.1;218059730;10
Malus x domestica;Apple;Unassigned;Food Plant;Malus Mal d 4;IgE plus basophil+ or SPT+;115;CAT99619.1;218059733;10
Malus x domestica;Apple;Unassigned;Food Plant;Malus Mal d 4;IgE plus basophil+ or SPT+;131;CAT99617.1;218059728;10
Malus x domestica;Apple;Mal d 4.0301;Food Plant;Malus Mal d 4;IgE plus basophil+ or SPT+;131;AAD29412.1;4761584;11
Malus x domestica;Apple;Mal d 4.0201;Food Plant;Malus Mal d 4;IgE plus basophil+ or SPT+;131;AAD29413.1;4761586;11
Malus x domestica;Apple;Mal d 4.0101;Food Plant;Malus Mal d 4;IgE plus basophil+ or SPT+;131;AAD29414.1;4761588;11
Manihot esculenta;Cassava;Unassigned;Food Plant;Manihot Man e 5.0101;IgE but no biological test;177;AAM55492.1;21585695;7
Manihot esculenta;Cassava;Man e 5.0101;Food Plant;Manihot Man e 5.0101;IgE but no biological test;177;AEE98392.1;332713934;14
Manilkara zapota;Sapodilla plum;Unassigned;Food Plant;Manilkara Thaumatin like protein 1;IgE but no biological test;12;B3EWS0.1;442580988;14
Manilkara zapota;Sapodilla plum;Unassigned;Food Plant;Manilkara Thaumatin like protein 1;IgE but no biological test;9;B3EWE5.3;442570282;14
Manilkara zapota;Sapodilla plum;Unassigned;Food Plant;Manilkara Thaumatin like protein 1;IgE but no biological test;207;G5DC91.2;663434113;15
Morus alba var. atropurpurea;White Mulberry;Unassigned;Food Plant;Morus winter accumulating protein;IgE but no biological test;157;AHW81906.1;610664572;15
Morus bombycis;Mulberry;Unassigned;Food Plant;Morus winter accumulating protein;IgE but no biological test;157;AAV33670.1;54311115;12
Morus bombycis;Mulberry;Unassigned;Food Plant;Morus winter accumulating protein;IgE but no biological test;157;AAV33672.1;54311119;12
Morus nigra;Black mulberry;Mor n 3.0101;Food Plant;Morus Mor n 3 mulberry LTP;IgE plus basophil+ or SPT+;91;P85894.1;288561913;11
Musa acuminata;Banana;Mus a 1.0101;Food Plant;Musa acuminata Mus a 1 profilin banana;IgE but no biological test;131;AAK54834.1;14161635;7
Musa acuminata;Banana;Unassigned;Food Plant;Musa acuminata Mus a 5 Endo-Beta-1,3-Glucanase;IgE plus basophil+ or SPT+;312;2CYG_A;83754908;7
Musa acuminata;Banana;Mus a 4.0101;Food Plant;Musa Mus a 4;IgE plus basophil+ or SPT+;200;1Z3Q_A;88191901;7
Musa acuminata;Banana;Mus a 2.0101;Food Plant;Musa Mus s 2;IgE but no biological test;318;CAC81811.1;17932710;15
Musa acuminata AAA Group;Banana;Unassigned;Food Plant;Musa acuminata Mus a 5 Endo-Beta-1,3-Glucanase;IgE plus basophil+ or SPT+;340;AAB82772.2;6073860;14
Oryza sativa;Rice;Unassigned;Food Plant;Oryza Glyoxalase I;IgE but no biological test;291;Q948T6.2;84029333;7
Oryza sativa (japonica cultivar-group);Rice;Unassigned;Food Plant;Oryza Glyoxalase I;IgE but no biological test;291;BAB71741.1;16580747;7
Oryza sativa (japonica cultivar-group);Rice;Unassigned;Food Plant;Oryza Trypsin alpha-amylase inhibitor;IgE but no biological test;157;BAC20657.1;23616954;8
Oryza sativa (japonica cultivar-group);Rice;Unassigned;Food Plant;Oryza Trypsin alpha-amylase inhibitor;IgE but no biological test;165;BAA01998.1;218193;7
Oryza sativa (japonica cultivar-group);Rice;Unassigned;Food Plant;Oryza Trypsin alpha-amylase inhibitor;IgE but no biological test;157;BAA01996.1;218197;7
Oryza sativa (japonica cultivar-group);Rice;Unassigned;Food Plant;Oryza Trypsin alpha-amylase inhibitor;IgE but no biological test;111;BAA07772.1;1304216;7
Oryza sativa (japonica cultivar-group);Rice;Unassigned;Food Plant;Oryza Trypsin alpha-amylase inhibitor;IgE but no biological test;109;BAA07773.1;1304217;7
Oryza sativa (japonica cultivar-group);Rice;Unassigned;Food Plant;Oryza Trypsin alpha-amylase inhibitor;IgE but no biological test;113;BAA07774.1;1304218;7
Oryza sativa (japonica cultivar-group);Rice;Unassigned;Food Plant;Oryza Trypsin alpha-amylase inhibitor;IgE but no biological test;166;BAA07710.1;1398913;7
Oryza sativa (japonica cultivar-group);Rice;Unassigned;Food Plant;Oryza Trypsin alpha-amylase inhibitor;IgE but no biological test;160;BAA07711.1;1398915;7
Oryza sativa (japonica cultivar-group);Rice;Unassigned;Food Plant;Oryza Trypsin alpha-amylase inhibitor;IgE but no biological test;157;BAA07712.1;1398916;7
Oryza sativa (japonica cultivar-group);Rice;Unassigned;Food Plant;Oryza Trypsin alpha-amylase inhibitor;IgE but no biological test;160;BAA07713.1;1398918;7
Oryza sativa (japonica cultivar-group);Rice;Unassigned;Food Plant;Oryza Trypsin alpha-amylase inhibitor;IgE but no biological test;157;AAB99797.1;2827316;7
Oryza sativa (japonica cultivar-group);Rice;Unassigned;Food Plant;Oryza Trypsin alpha-amylase inhibitor;IgE but no biological test;166;Q01882.2;114152865;8
Oryza sativa (japonica cultivar-group);Rice;Unassigned;Food Plant;Oryza Trypsin alpha-amylase inhibitor;IgE but no biological test;163;Q01883.2;114152864;8
Oryza sativa (japonica cultivar-group);Rice;Unassigned;Food Plant;Oryza Trypsin alpha-amylase inhibitor;IgE but no biological test;160;BAC19997.1;23495787;8
Oryza sativa (japonica cultivar-group);Rice;Unassigned;Food Plant;Oryza Trypsin alpha-amylase inhibitor;IgE but no biological test;160;BAC20650.1;23616947;7
Persea americana;Avocado;Pers a 1.0101;Food Plant;Persea Pers a 1;IgE but no biological test;326;CAB01591.1;3201547;7
Phaseolus vulgaris;Kidney bean;Pha v 3.0101;Food Plant;Phaseolus Pha v 3;IgE plus basophil+ or SPT+;115;ADC80502.1;289064177;11
Phaseolus vulgaris;Kidney bean;Pha v 3.0201;Food Plant;Phaseolus Pha v 3;IgE plus basophil+ or SPT+;118;ADC80503.1;289064179;11
Pinus koraiensis;;Pin k 2.0101;Food Plant;Pinus koraiensis vicilin Pin k 2.0101;IgE but no biological test;463;AHC94918.1;567773309;15
Pinus pinea;Pine;Unassigned;Food Plant;Pinus pinea albumin AAI;IgE but no biological test;110;CEJ95862.1;749495809;16
Pinus pinea;Pine;Pin p 1.0101;Food Plant;Pinus pinea Pin p 1 2S;IgE plus basophil+ or SPT+;164;CTQ87571.1;916237486;16
Pistacia vera;pistachio;Unassigned;Food Plant;Pistacia 11S globulin;IgE but no biological test;472;ABU42022.1;156001070;9
Pistacia vera;pistachio;Pis v 2.0101;Food Plant;Pistacia 11S globulin;IgE but no biological test;496;ABG73109.1;110349083;10
Pistacia vera;pistachio;Pis v 2.0201;Food Plant;Pistacia 11S globulin;IgE but no biological test;472;ABG73110.1;110349085;10
Pistacia vera;pistachio;Pis v 1.0101;Food Plant;Pistacia Pis v 1 2S albumin;IgE but no biological test;149;ABG73108.1;110349081;10
Pistacia vera;pistachio;Pis v 3.0101;Food Plant;Pistacia Pis v 3 vicilin;IgE but no biological test;519;ABO36677.1;133711974;10
Pistacia vera;pistachio;Pis v 4.0101;Food Plant;Pistacia Pis v 4;IgE but no biological test;230;ABR29644.1;149786150;9
Pisum sativum;Pea;Pis s 1.0102;Food Plant;Pisum Pis s 1;IgE but no biological test;415;CAF25233.1;42414629;7
Pisum sativum;Pea;Pis s 1.0101;Food Plant;Pisum Pis s 1;IgE but no biological test;415;CAF25232.1;42414627;7
Pisum sativum;Pea;Pis s 2.0101;Food Plant;Pisum Pis s 2;IgE but no biological test;613;CAB82855.1;7339551;15
Pisum sativum;Pea;Pis s 3.0101;Food Plant;Pisum sativum Pis s 3;IgE but no biological test;120;AJG44053.1;752855036;17
Pisum sativum;Pea;Unassigned;Food Plant;Pisum sativum Pis s 3;IgE but no biological test;120;A0A158V755.1;1064302992;18
Pisum sativum;Pea;Unassigned;Food Plant;Pisum sativum Pis s 3;IgE but no biological test;119;A0A158V976.1;1064302965;18
Pisum sativum;Pea;Unassigned;Food Plant;Pisum sativum Pis s 3;IgE but no biological test;95;2N81_A;1026943499;18
Prunus armeniaca;Apricot;Pru ar 1.0101;Food Plant;Prunus PRP (Bet v 1 family);IgE plus basophil+ or SPT+;160;AAB97141.1;2677826;7
Prunus armeniaca;Apricot;Unassigned;Food Plant;Prunus Pru 3;IgE plus basophil+ or SPT+;119;ADR66945.1;313575730;12
Prunus armeniaca;Apricot;Unassigned;Food Plant;Prunus Pru 3;IgE plus basophil+ or SPT+;117;ADR66946.1;313575732;12
Prunus armeniaca;Apricot;Pru ar 3.0101;Food Plant;Prunus Pru 3;IgE plus basophil+ or SPT+;117;ADR66947.1;313575734;12
Prunus armeniaca;Apricot;Unassigned;Food Plant;Prunus Pru 3;IgE plus basophil+ or SPT+;117;ADR66948.1;313575736;12
Prunus avium;Cherry;Pru av 1.0101;Food Plant;Prunus PRP (Bet v 1 family);IgE plus basophil+ or SPT+;160;AAC02632.1;1513216;7
Prunus avium;Cherry;Pru av 1.0203;Food Plant;Prunus PRP (Bet v 1 family);IgE plus basophil+ or SPT+;160;AAS47037.1;44409496;7
Prunus avium;Cherry;Pru av 1.0202;Food Plant;Prunus PRP (Bet v 1 family);IgE plus basophil+ or SPT+;160;AAS47036.1;44409474;7
Prunus avium;Cherry;Pru av 1.0201;Food Plant;Prunus PRP (Bet v 1 family);IgE plus basophil+ or SPT+;160;AAS47035.1;44409451;7
Prunus avium;Cherry;Unassigned;Food Plant;Prunus PRP (Bet v 1 family);IgE plus basophil+ or SPT+;159;1H2O_A;159162378;9
Prunus avium;Cherry;Pru av 3.0101;Food Plant;Prunus Pru 3;IgE plus basophil+ or SPT+;117;AAF26449.1;6715520;7
Prunus avium;Cherry;Unassigned;Food Plant;Prunus Pru 3;IgE plus basophil+ or SPT+;117;ADR66943.1;313575726;12
Prunus avium;Cherry;Unassigned;Food Plant;Prunus Pru 3;IgE plus basophil+ or SPT+;117;ADR66944.1;313575728;12
Prunus avium;Cherry;Pru av 4.0101;Food Plant;Prunus Pru 4 Profilin peach cherry almond;IgE plus basophil+ or SPT+;131;AAD29411.1;4761582;7
Prunus avium;Cherry;Pru av 2.0101;Food Plant;Prunus Pru av 2;IgE but no biological test;245;AAB38064.1;1144346;7
Prunus domestica;Plum;Pru d 3.0101;Food Plant;Prunus Pru 3;IgE plus basophil+ or SPT+;91;P82534.1;9297015;7
